ECU_ID,Manufacturing_Line_ID,Process_Stage,Temperature,Pressure,Speed,Alignment_Tolerance,Voltage,Current,Defect_Rate_in_Batch,Material_Quality_Indicator,Assembly_Errors,Quality_Check_Results,Production_Time,Rework_Count,Factory_Temperature,Humidity_Levels,Operator_ID,Historical_Failure_Rate,Anomaly_Score,Manufacturing_Error
ECU_2823,Line_A,Testing,280.88,1.19,64.86,0.051,4.01,0.64,1.18,Low,4,Pass,9.67,2,22.31,41.5,Operator_7,7.44,0.55,0
ECU_2824,Line_B,Packaging,203.29,1.46,44.82,0.053,4.3,0.47,0.97,High,2,Fail,11.19,3,27.59,60.02,Operator_10,5.8,0.5,1
ECU_2825,Line_A,Assembly,235.62,1.01,77.6,0.056,4.94,0.97,3.56,Medium,4,Fail,5.25,1,27.48,45.28,Operator_20,2.27,0.6,1
ECU_2826,Line_A,Testing,178.87,1.42,42.3,0.063,3.54,1.09,3.38,Low,4,Pass,13.98,1,24.57,51.09,Operator_10,2.11,0.9,0
ECU_2827,Line_C,Packaging,271.53,1.01,83.27,0.06,3.13,0.69,2.16,Low,1,Pass,9.92,0,25.11,41.13,Operator_11,5.76,0.64,1
ECU_2828,Line_A,Testing,258.13,1.43,65.86,0.01,4.74,0.15,3.24,Medium,2,Pass,5.81,1,25.51,54.95,Operator_1,2.15,0.17,0
ECU_2829,Line_B,Testing,165.98,1.38,42.79,0.09,3.04,0.14,0.23,Medium,4,Fail,15.54,3,24.86,38.13,Operator_9,5.42,0.25,1
ECU_2830,Line_A,Packaging,278.9,0.98,86.68,0.071,3.05,1.3,3.33,High,5,Fail,13.3,2,24.94,36.28,Operator_15,7.67,0.61,0
ECU_2831,Line_C,Packaging,246.9,1.14,27.5,0.042,3.78,0.12,1.53,Low,4,Fail,7.88,0,22.33,51.23,Operator_1,8.88,0.09,1
ECU_2832,Line_C,Assembly,298.13,1.49,63.5,0.053,4.96,0.18,4.6,Medium,3,Fail,17.51,0,27.77,57.5,Operator_4,1.17,0.62,0
ECU_2833,Line_A,Packaging,152.15,0.88,50.21,0.049,3.99,1.44,0.75,Low,2,Pass,8.89,1,24.13,69.92,Operator_4,8.68,0.09,0
ECU_2834,Line_A,Testing,198.66,1.05,22.78,0.017,4.36,0.66,4.17,Medium,5,Fail,8.48,2,24.73,44.62,Operator_6,1.15,0.46,1
ECU_2835,Line_C,Assembly,156.11,1.15,47.19,0.033,3.42,0.24,0.1,Low,5,Pass,15.1,3,31.8,58.7,Operator_6,3.18,0.07,1
ECU_2836,Line_B,Assembly,265.93,0.86,55.07,0.035,3.05,1.15,3.4,High,5,Pass,18.56,0,34.4,62.52,Operator_5,9.97,0.99,0
ECU_2837,Line_A,Soldering,238.71,1.27,87.46,0.011,3.79,1.29,3.41,High,5,Pass,14.63,0,33.45,44.96,Operator_11,0.63,0.48,0
ECU_2838,Line_B,Testing,170.68,1.22,82.38,0.091,4.99,1.01,3.41,Medium,2,Pass,17.54,2,26.55,61.53,Operator_1,6.77,0.25,0
ECU_2839,Line_C,Packaging,281.33,1.0,30.23,0.062,4.1,0.56,2.01,Medium,5,Pass,14.29,1,22.06,49.79,Operator_4,7.48,0.3,1
ECU_2840,Line_B,Testing,150.9,1.23,51.9,0.071,3.69,0.25,2.08,Low,2,Fail,11.99,0,34.68,54.44,Operator_7,6.79,0.25,0
ECU_2841,Line_C,Testing,284.66,0.94,67.51,0.016,3.25,1.43,1.11,Medium,3,Pass,8.2,0,32.22,61.04,Operator_18,8.39,0.1,1
ECU_2842,Line_A,Assembly,274.82,1.31,39.31,0.086,4.92,0.4,2.69,Low,4,Fail,5.33,2,33.89,31.25,Operator_4,9.73,0.62,1
ECU_2843,Line_B,Packaging,211.63,1.33,27.53,0.083,4.89,0.56,3.22,High,5,Fail,6.25,2,32.33,46.2,Operator_9,1.75,0.71,1
ECU_2844,Line_A,Packaging,157.57,1.03,77.51,0.048,3.95,0.75,4.87,Medium,5,Pass,17.94,1,23.02,57.39,Operator_4,7.77,0.66,1
ECU_2845,Line_C,Testing,187.31,1.27,50.3,0.082,3.24,0.28,2.72,Low,0,Pass,8.79,3,27.37,33.87,Operator_8,4.23,0.3,0
ECU_2846,Line_B,Testing,169.71,1.07,28.24,0.061,4.49,0.86,3.03,High,0,Pass,7.98,3,31.22,48.24,Operator_16,4.09,0.27,1
ECU_2847,Line_B,Packaging,190.17,1.03,67.05,0.029,4.97,0.38,2.22,Low,0,Pass,10.28,0,25.58,44.42,Operator_11,9.65,0.81,0
ECU_2848,Line_A,Assembly,204.81,1.06,28.83,0.015,4.7,1.13,4.2,Medium,4,Fail,5.36,3,24.84,68.95,Operator_5,9.99,0.22,1
ECU_2849,Line_B,Assembly,261.92,1.04,49.6,0.057,3.71,1.4,2.41,High,0,Fail,9.78,3,20.25,52.62,Operator_9,1.39,0.01,1
ECU_2850,Line_B,Assembly,267.49,1.15,20.6,0.078,4.71,0.19,2.16,Medium,0,Pass,17.19,1,34.8,34.52,Operator_17,0.86,0.07,1
ECU_2851,Line_C,Soldering,293.66,1.45,78.04,0.062,3.73,0.94,2.71,Medium,2,Fail,7.38,1,25.99,40.26,Operator_15,7.32,0.23,0
ECU_2852,Line_A,Packaging,269.66,0.96,65.43,0.075,3.67,0.12,3.42,Medium,4,Fail,7.67,1,25.37,58.13,Operator_12,1.64,0.02,0
ECU_2853,Line_A,Testing,291.56,0.9,81.74,0.087,3.37,1.35,4.9,Medium,4,Pass,6.3,1,31.53,41.07,Operator_7,5.67,0.38,1
ECU_2854,Line_B,Testing,254.8,1.03,71.52,0.011,3.6,0.93,1.16,Low,0,Pass,9.32,0,27.27,32.49,Operator_3,6.87,0.17,0
ECU_2855,Line_A,Assembly,295.91,1.11,67.04,0.044,3.54,0.12,2.38,Low,4,Fail,18.48,1,34.85,35.36,Operator_9,9.3,0.71,1
ECU_2856,Line_B,Testing,158.5,0.92,64.88,0.045,3.03,1.32,0.39,Medium,0,Fail,16.64,2,23.43,53.55,Operator_3,2.28,0.94,1
ECU_2857,Line_B,Testing,209.1,1.31,89.3,0.089,4.5,0.52,3.37,High,4,Pass,13.68,2,29.85,41.35,Operator_10,1.02,0.86,0
ECU_2858,Line_B,Assembly,299.65,1.5,98.19,0.066,4.97,0.12,0.34,High,4,Pass,8.92,1,22.59,57.25,Operator_9,7.62,0.74,1
ECU_2859,Line_A,Testing,269.12,1.15,96.9,0.026,3.32,0.14,4.34,High,1,Fail,19.33,1,28.36,61.43,Operator_9,8.43,0.91,0
ECU_2860,Line_A,Soldering,166.48,1.21,25.52,0.03,4.66,0.27,3.95,High,4,Pass,6.25,2,28.45,65.79,Operator_6,1.29,0.48,1
ECU_2861,Line_B,Soldering,216.79,0.82,70.93,0.038,4.75,0.92,0.72,High,5,Pass,6.41,0,26.34,37.75,Operator_20,5.28,0.98,1
ECU_2862,Line_A,Packaging,259.28,0.83,22.07,0.088,4.46,0.31,1.96,Medium,3,Pass,11.08,2,20.97,66.55,Operator_3,1.43,0.82,1
ECU_2863,Line_C,Soldering,253.4,1.14,66.79,0.073,4.16,1.47,4.93,High,3,Pass,15.15,0,22.43,60.25,Operator_19,8.91,0.89,1
ECU_2864,Line_C,Testing,214.33,0.94,30.51,0.097,4.12,0.19,1.95,Low,3,Fail,9.12,3,32.96,53.18,Operator_15,0.02,0.05,1
ECU_2865,Line_A,Soldering,275.08,0.89,51.2,0.035,4.31,0.86,1.56,High,5,Pass,9.34,3,29.4,45.82,Operator_3,2.09,0.34,0
ECU_2866,Line_A,Packaging,160.19,0.86,33.7,0.079,3.03,1.26,0.29,Low,0,Pass,10.02,0,28.3,63.57,Operator_15,2.56,0.52,0
ECU_2867,Line_A,Assembly,191.18,1.1,99.0,0.084,4.75,0.76,2.57,Low,4,Pass,9.3,1,24.33,45.91,Operator_17,4.81,0.89,0
ECU_2868,Line_B,Testing,269.99,1.11,99.36,0.061,3.45,1.36,1.51,Medium,2,Pass,10.63,0,32.24,32.84,Operator_2,6.38,0.63,1
ECU_2869,Line_A,Testing,194.4,1.18,90.06,0.027,3.14,0.5,2.18,Medium,5,Fail,9.95,1,33.38,63.16,Operator_10,3.87,0.25,0
ECU_2870,Line_B,Assembly,150.33,0.92,56.37,0.055,4.46,1.31,0.48,High,5,Pass,5.54,2,25.42,36.47,Operator_12,7.37,0.82,1
ECU_2871,Line_A,Testing,206.81,0.98,46.35,0.063,4.5,0.13,0.61,Medium,1,Pass,12.64,3,34.57,63.0,Operator_5,2.24,0.7,1
ECU_2872,Line_B,Soldering,166.31,0.88,80.68,0.061,3.4,0.36,2.97,High,2,Fail,16.29,2,30.62,57.56,Operator_20,6.42,0.94,1
ECU_2873,Line_C,Testing,171.67,1.47,97.93,0.08,3.77,0.73,4.9,High,4,Fail,15.75,1,24.59,61.04,Operator_3,4.51,0.3,1
ECU_2874,Line_C,Assembly,218.22,0.86,28.88,0.067,4.81,1.18,2.3,High,4,Pass,10.1,2,26.58,32.73,Operator_18,6.26,0.57,0
ECU_2875,Line_B,Soldering,212.49,1.47,69.53,0.074,3.82,0.56,2.1,High,5,Pass,8.68,1,34.69,51.27,Operator_2,8.12,0.84,1
ECU_2876,Line_B,Packaging,191.66,1.38,31.49,0.022,4.45,0.37,0.36,High,3,Fail,5.39,2,20.48,57.4,Operator_8,7.25,0.63,1
ECU_2877,Line_C,Packaging,161.17,0.94,63.13,0.039,4.46,0.17,1.15,High,0,Pass,8.18,1,27.06,62.5,Operator_16,6.2,0.12,1
ECU_2878,Line_B,Assembly,205.2,1.21,50.38,0.065,3.92,1.12,4.33,High,0,Pass,15.0,0,29.9,49.67,Operator_8,1.57,0.86,0
ECU_2879,Line_A,Testing,201.67,1.18,81.31,0.073,4.84,0.55,3.74,High,2,Pass,15.36,2,20.6,37.19,Operator_18,2.1,0.62,1
ECU_2880,Line_B,Soldering,255.46,1.33,48.91,0.096,4.87,0.8,1.67,High,3,Pass,13.96,2,28.96,32.36,Operator_16,1.27,0.04,0
ECU_2881,Line_A,Assembly,229.33,1.24,72.97,0.052,3.62,1.02,4.37,Medium,4,Fail,12.56,2,25.34,58.11,Operator_19,9.97,0.81,0
ECU_2882,Line_A,Packaging,283.9,0.88,88.6,0.053,4.83,0.45,2.68,Low,5,Fail,10.99,2,27.52,60.24,Operator_7,2.12,0.01,1
ECU_2883,Line_A,Soldering,161.42,0.82,88.25,0.035,3.9,1.0,2.37,Medium,2,Fail,12.68,2,21.31,32.78,Operator_11,7.18,0.61,1
ECU_2884,Line_C,Assembly,247.14,1.26,86.34,0.044,4.7,0.28,2.98,Low,5,Fail,10.3,1,32.76,38.13,Operator_5,8.92,0.71,1
ECU_2885,Line_C,Soldering,164.44,1.2,72.48,0.051,3.32,1.38,4.02,Medium,5,Fail,8.09,1,31.37,54.95,Operator_1,7.42,0.45,1
ECU_2886,Line_C,Assembly,190.24,1.17,24.4,0.018,4.55,0.67,3.05,Low,3,Fail,10.46,3,26.88,54.86,Operator_8,8.65,0.83,0
ECU_2887,Line_B,Soldering,287.67,0.98,66.64,0.044,3.15,0.19,0.31,Low,1,Pass,18.62,1,28.39,31.41,Operator_2,1.15,0.03,1
ECU_2888,Line_A,Soldering,151.29,1.22,72.12,0.06,3.28,1.43,1.22,High,4,Fail,7.66,0,30.76,57.62,Operator_10,6.37,0.01,1
ECU_2889,Line_A,Assembly,167.73,1.06,67.11,0.091,4.68,0.56,3.99,Medium,0,Fail,12.71,3,26.34,61.34,Operator_5,7.95,0.06,1
ECU_2890,Line_A,Packaging,224.58,1.07,89.93,0.02,4.6,1.08,2.43,Medium,2,Pass,9.09,2,32.97,51.89,Operator_1,2.4,0.38,0
ECU_2891,Line_C,Assembly,182.79,1.1,49.05,0.096,4.94,1.14,2.17,High,5,Fail,10.78,0,20.38,55.61,Operator_5,8.34,0.45,0
ECU_2892,Line_C,Assembly,239.57,1.05,63.38,0.086,4.92,0.44,1.18,High,4,Pass,12.9,0,28.9,63.88,Operator_19,8.39,0.37,0
ECU_2893,Line_A,Soldering,250.28,0.86,57.71,0.046,4.8,1.17,1.4,High,4,Fail,7.06,3,31.27,37.52,Operator_3,1.68,0.77,1
ECU_2894,Line_C,Soldering,290.1,1.32,51.59,0.05,4.24,1.28,1.23,High,0,Fail,16.54,0,20.17,41.27,Operator_3,9.64,0.42,1
ECU_2895,Line_C,Testing,268.7,1.3,68.13,0.017,4.9,1.07,0.95,Medium,5,Fail,6.54,3,30.51,58.31,Operator_2,8.04,0.18,0
ECU_2896,Line_B,Assembly,298.7,1.0,33.92,0.01,4.21,0.77,3.55,Medium,0,Pass,11.2,0,21.72,48.15,Operator_20,6.42,0.53,1
ECU_2897,Line_B,Packaging,292.54,1.5,20.6,0.085,3.26,1.07,3.89,High,0,Fail,6.49,2,34.25,36.52,Operator_2,4.86,0.48,1
ECU_2898,Line_C,Assembly,278.69,0.93,36.58,0.04,3.06,0.71,4.06,Low,2,Pass,8.25,2,33.3,65.69,Operator_7,1.75,0.97,0
ECU_2899,Line_C,Soldering,255.13,1.22,88.57,0.077,4.98,0.67,0.01,Medium,0,Pass,5.61,1,20.94,64.94,Operator_11,2.21,0.57,0
ECU_2900,Line_A,Testing,198.59,1.44,45.35,0.072,4.96,0.68,1.81,High,2,Fail,12.05,2,32.72,51.25,Operator_2,8.56,0.16,1
ECU_2901,Line_C,Soldering,218.16,0.87,46.4,0.078,3.21,0.48,3.89,High,1,Fail,5.43,0,23.5,65.53,Operator_13,0.56,0.8,0
ECU_2902,Line_A,Packaging,201.97,1.29,71.72,0.08,4.58,0.23,2.46,High,2,Fail,10.44,2,30.19,67.91,Operator_19,2.46,0.94,1
ECU_2903,Line_B,Testing,287.26,1.2,42.28,0.035,3.26,0.33,0.66,High,4,Fail,16.4,3,28.83,38.21,Operator_3,7.47,0.89,0
ECU_2904,Line_C,Soldering,223.87,0.82,78.29,0.08,3.5,0.33,2.96,Medium,4,Pass,7.36,0,23.58,32.04,Operator_14,4.66,0.09,1
ECU_2905,Line_A,Soldering,199.15,1.43,82.11,0.06,4.17,0.31,4.72,Medium,1,Fail,18.32,0,30.44,48.15,Operator_2,0.19,0.66,1
ECU_2906,Line_A,Testing,284.54,1.27,54.47,0.076,3.5,0.44,3.44,Low,1,Fail,17.76,0,28.73,38.64,Operator_2,0.27,0.81,0
ECU_2907,Line_B,Testing,261.62,1.42,97.24,0.021,3.11,1.4,0.46,Medium,0,Pass,15.07,1,29.86,42.72,Operator_8,8.48,0.35,0
ECU_2908,Line_B,Soldering,292.33,0.94,29.15,0.094,3.22,0.75,4.28,Low,4,Pass,9.17,0,32.15,58.3,Operator_19,4.78,0.76,1
ECU_2909,Line_C,Assembly,295.79,0.94,67.27,0.092,4.67,0.82,3.98,Low,1,Fail,15.27,2,21.94,57.86,Operator_12,9.71,0.49,0
ECU_2910,Line_B,Assembly,285.02,1.17,90.61,0.052,4.97,0.99,2.12,Low,5,Fail,12.96,3,30.5,51.07,Operator_2,7.13,0.5,0
ECU_2911,Line_C,Packaging,220.15,0.89,58.68,0.025,3.88,0.27,1.98,High,4,Fail,11.1,0,20.57,68.73,Operator_16,0.82,0.49,1
ECU_2912,Line_B,Packaging,192.11,1.42,74.88,0.019,4.37,0.93,1.6,High,1,Pass,9.77,0,22.79,35.35,Operator_18,8.47,0.37,1
ECU_2913,Line_B,Assembly,208.71,1.05,75.42,0.064,3.34,1.1,4.11,High,2,Fail,19.79,1,31.77,62.73,Operator_15,2.69,0.15,0
ECU_2914,Line_A,Soldering,231.4,1.38,21.47,0.082,3.71,1.35,3.71,Medium,0,Pass,11.84,2,25.99,53.52,Operator_10,4.42,0.22,0
ECU_2915,Line_C,Assembly,267.49,1.25,31.82,0.048,4.46,0.31,2.07,Low,2,Fail,8.1,3,33.78,45.45,Operator_18,4.52,0.47,0
ECU_2916,Line_C,Packaging,173.94,1.14,64.57,0.037,4.15,0.19,0.65,Medium,4,Fail,15.57,2,25.95,54.11,Operator_10,1.65,0.43,1
ECU_2917,Line_A,Assembly,242.25,1.36,79.07,0.016,4.53,1.44,0.84,Medium,0,Fail,11.04,2,21.73,33.0,Operator_16,6.59,0.41,1
ECU_2918,Line_A,Soldering,228.31,1.08,48.95,0.066,3.32,0.98,0.65,Medium,3,Fail,12.63,3,21.76,41.21,Operator_1,8.53,0.65,0
ECU_2919,Line_C,Assembly,239.26,1.29,98.28,0.04,3.73,0.57,1.74,High,0,Fail,9.29,1,25.75,57.56,Operator_19,6.39,0.32,1
ECU_2920,Line_B,Testing,231.15,1.28,66.65,0.053,3.34,0.92,1.8,High,2,Pass,14.21,3,22.73,35.2,Operator_6,8.45,0.18,0
ECU_2921,Line_A,Packaging,161.54,1.43,22.3,0.062,3.47,0.21,1.16,Low,1,Fail,5.91,2,22.72,69.69,Operator_13,0.34,0.93,0
ECU_2922,Line_B,Testing,151.65,0.88,25.22,0.027,3.17,1.45,2.31,High,3,Pass,11.54,3,32.3,53.32,Operator_1,5.32,0.69,1
ECU_2923,Line_A,Assembly,170.57,1.11,86.58,0.026,4.08,0.11,4.97,Medium,2,Pass,19.76,0,26.73,63.06,Operator_20,5.15,0.83,1
ECU_2924,Line_B,Packaging,244.59,1.48,35.97,0.04,3.21,0.23,1.29,High,5,Fail,16.58,3,32.19,58.78,Operator_5,5.1,0.85,0
ECU_2925,Line_C,Packaging,188.86,1.03,67.27,0.025,4.07,1.4,4.92,Medium,4,Fail,8.37,0,23.13,45.98,Operator_16,3.79,0.13,0
ECU_2926,Line_B,Assembly,192.47,1.47,94.89,0.063,4.49,0.33,1.6,Medium,2,Pass,13.53,2,27.95,61.72,Operator_14,7.99,0.7,0
ECU_2927,Line_B,Testing,292.69,1.01,88.92,0.071,3.56,0.63,4.78,Medium,5,Fail,18.92,2,29.15,57.22,Operator_1,3.28,0.38,0
ECU_2928,Line_B,Testing,209.9,0.96,56.99,0.092,3.73,0.45,2.53,Low,5,Pass,9.95,3,32.97,43.68,Operator_19,5.51,0.36,0
ECU_2929,Line_B,Soldering,201.28,0.84,55.72,0.023,4.85,0.97,4.49,High,3,Fail,10.67,1,29.43,48.32,Operator_20,7.39,0.23,0
ECU_2930,Line_C,Testing,159.27,1.07,50.95,0.074,4.44,0.68,0.33,High,5,Fail,15.15,0,25.48,59.26,Operator_17,3.95,0.29,1
ECU_2931,Line_C,Assembly,158.14,1.47,36.91,0.085,3.94,0.71,2.66,Low,0,Fail,10.47,0,23.67,52.2,Operator_6,2.7,0.63,1
ECU_2932,Line_A,Soldering,218.19,0.95,89.22,0.058,4.06,0.68,4.22,Low,2,Fail,18.76,0,30.6,49.2,Operator_9,4.02,0.49,0
ECU_2933,Line_A,Packaging,158.74,1.17,31.21,0.063,3.82,1.13,2.34,Medium,5,Pass,13.8,3,20.75,68.0,Operator_1,3.39,0.95,0
ECU_2934,Line_A,Assembly,281.96,1.19,54.62,0.018,3.61,0.47,1.03,Low,5,Pass,14.53,3,21.43,30.54,Operator_2,9.17,0.71,0
ECU_2935,Line_C,Testing,295.03,1.02,52.45,0.044,3.76,0.2,0.04,High,5,Pass,16.77,3,25.99,41.78,Operator_6,0.76,0.12,0
ECU_2936,Line_C,Packaging,200.89,1.15,63.97,0.035,3.95,0.26,4.26,Low,0,Fail,10.41,0,31.62,40.43,Operator_3,4.87,0.86,1
ECU_2937,Line_C,Testing,177.06,1.21,49.23,0.01,4.14,0.86,4.36,Low,2,Pass,14.26,1,23.23,36.38,Operator_11,4.9,0.37,0
ECU_2938,Line_C,Soldering,291.27,1.3,62.96,0.029,3.84,1.15,3.14,High,3,Fail,7.27,1,34.74,60.63,Operator_11,6.99,0.57,1
ECU_2939,Line_A,Packaging,260.15,1.41,62.07,0.055,4.2,0.8,3.77,High,4,Pass,10.0,0,29.64,69.46,Operator_20,9.72,0.33,1
ECU_2940,Line_B,Assembly,172.9,0.85,97.57,0.097,4.96,1.22,3.94,Low,1,Pass,12.37,3,20.17,64.28,Operator_7,4.17,0.57,0
ECU_2941,Line_A,Assembly,171.29,1.36,62.69,0.057,4.22,1.24,2.24,Medium,5,Pass,19.88,1,22.16,39.61,Operator_19,5.37,0.28,0
ECU_2942,Line_A,Packaging,176.29,1.15,51.87,0.095,3.77,0.84,2.49,Low,3,Fail,14.37,3,22.5,44.97,Operator_3,3.46,0.52,1
ECU_2943,Line_A,Soldering,255.29,1.15,81.82,0.026,3.49,0.92,0.6,Medium,5,Pass,12.73,0,28.93,32.91,Operator_10,8.25,0.18,1
ECU_2944,Line_B,Assembly,161.63,0.91,37.38,0.033,4.29,0.62,1.83,Low,1,Pass,6.37,2,25.4,60.32,Operator_2,6.53,0.45,0
ECU_2945,Line_C,Testing,221.9,1.22,94.12,0.02,3.73,0.28,0.56,Medium,3,Fail,12.72,0,22.04,69.71,Operator_20,9.01,0.38,1
ECU_2946,Line_B,Soldering,219.49,1.32,48.8,0.074,3.03,1.05,2.51,High,2,Fail,15.33,2,32.82,33.19,Operator_9,0.8,0.36,1
ECU_2947,Line_B,Assembly,185.29,1.49,41.01,0.045,3.59,0.97,1.44,Low,3,Fail,11.52,0,26.16,47.0,Operator_20,4.49,0.48,0
ECU_2948,Line_B,Assembly,255.66,1.37,49.63,0.021,4.93,1.18,4.69,Low,2,Fail,8.83,2,27.05,40.95,Operator_10,7.72,0.06,1
ECU_2949,Line_B,Soldering,235.71,1.0,75.04,0.055,3.79,1.04,1.58,Medium,1,Fail,6.34,2,32.91,30.72,Operator_11,1.88,0.43,0
ECU_2950,Line_A,Assembly,157.86,1.13,45.89,0.029,4.11,0.47,1.57,Medium,5,Fail,9.11,0,23.93,50.11,Operator_6,7.7,0.07,0
ECU_2951,Line_C,Testing,241.38,1.27,63.7,0.068,3.44,1.39,1.43,High,3,Fail,5.12,2,34.79,56.23,Operator_15,7.69,0.98,0
ECU_2952,Line_A,Testing,266.26,1.25,83.5,0.037,4.12,0.86,2.47,Low,5,Fail,12.72,2,28.82,54.67,Operator_9,4.4,0.2,0
ECU_2953,Line_C,Packaging,289.19,1.45,40.07,0.014,4.31,0.59,1.38,Low,1,Pass,17.85,1,20.2,55.8,Operator_14,7.03,0.68,0
ECU_2954,Line_B,Testing,233.13,0.94,40.71,0.091,3.42,0.19,2.43,Low,5,Pass,15.73,1,21.56,49.1,Operator_1,8.81,0.36,1
ECU_2955,Line_B,Testing,271.17,0.98,78.56,0.025,3.47,0.95,3.12,High,0,Pass,17.93,0,26.47,56.07,Operator_20,7.46,0.54,0
ECU_2956,Line_B,Testing,179.24,0.96,68.36,0.046,3.83,0.56,2.35,Low,1,Fail,7.11,2,21.8,49.74,Operator_1,9.35,0.64,1
ECU_2957,Line_A,Assembly,196.18,1.25,33.44,0.044,3.6,1.35,0.89,Low,0,Pass,16.46,2,23.89,59.33,Operator_18,2.97,0.94,0
ECU_2958,Line_B,Assembly,256.76,1.03,58.83,0.095,4.16,0.96,0.64,Low,1,Pass,12.42,2,27.49,53.56,Operator_15,1.16,0.53,1
ECU_2959,Line_A,Testing,282.61,0.9,66.71,0.042,4.44,1.5,0.34,Medium,3,Pass,16.82,3,21.43,34.3,Operator_16,6.81,0.93,1
ECU_2960,Line_B,Packaging,241.7,1.23,32.15,0.045,3.85,0.24,4.86,High,0,Pass,10.89,3,23.69,52.48,Operator_4,2.94,0.84,1
ECU_2961,Line_A,Assembly,223.13,0.81,96.42,0.035,4.63,0.81,3.99,Low,1,Pass,17.49,0,33.11,67.38,Operator_7,4.79,0.83,1
ECU_2962,Line_C,Testing,185.03,1.11,30.94,0.037,4.87,0.41,2.98,Low,2,Pass,15.87,2,22.96,44.92,Operator_17,4.94,0.51,0
ECU_2963,Line_B,Assembly,163.01,1.14,94.23,0.028,4.96,0.56,2.04,Low,5,Pass,14.75,3,20.3,33.36,Operator_20,3.79,0.51,1
ECU_2964,Line_B,Assembly,155.32,0.99,67.09,0.025,4.52,1.19,2.04,Low,1,Fail,19.27,2,27.45,33.37,Operator_6,9.81,0.22,0
ECU_2965,Line_B,Testing,183.49,1.03,90.14,0.097,3.75,0.99,4.07,High,3,Fail,7.86,0,20.21,54.63,Operator_1,8.57,0.58,0
ECU_2966,Line_A,Testing,294.23,0.92,35.57,0.028,4.3,0.28,4.48,Low,0,Fail,16.47,2,29.62,66.89,Operator_6,1.62,0.42,1
ECU_2967,Line_C,Testing,230.41,1.01,32.0,0.02,3.05,1.06,1.16,Medium,5,Fail,13.85,1,27.57,38.43,Operator_12,3.74,0.22,1
ECU_2968,Line_B,Testing,250.99,1.21,68.75,0.073,3.69,0.62,0.34,High,1,Pass,14.19,2,27.45,54.49,Operator_4,9.1,0.01,1
ECU_2969,Line_B,Assembly,155.68,1.18,97.37,0.051,5.0,0.51,0.54,Medium,5,Pass,7.33,1,29.67,66.51,Operator_20,0.99,0.82,1
ECU_2970,Line_C,Testing,172.64,1.02,20.22,0.038,3.22,0.93,0.37,Low,3,Fail,10.42,2,21.85,48.06,Operator_4,3.31,0.72,1
ECU_2971,Line_A,Testing,173.31,1.37,98.19,0.081,3.37,0.4,4.25,Low,0,Pass,14.21,1,33.16,51.41,Operator_7,8.09,0.31,0
ECU_2972,Line_A,Testing,225.73,1.34,40.79,0.013,3.44,1.07,3.33,High,5,Fail,11.97,1,26.55,43.94,Operator_3,2.51,0.94,0
ECU_2973,Line_B,Assembly,193.05,1.23,28.16,0.049,3.39,0.41,0.98,Medium,1,Pass,6.26,1,28.21,43.47,Operator_8,6.47,0.59,1
ECU_2974,Line_A,Assembly,254.13,1.23,22.49,0.085,3.65,0.31,2.83,High,4,Fail,11.77,1,20.15,68.88,Operator_15,7.37,0.29,0
ECU_2975,Line_A,Soldering,248.1,1.2,58.31,0.074,3.58,1.4,4.08,Medium,5,Fail,13.27,0,20.45,63.61,Operator_10,3.07,0.92,1
ECU_2976,Line_C,Packaging,222.8,1.23,56.37,0.041,4.23,0.75,1.14,Medium,2,Fail,7.73,0,23.55,59.31,Operator_15,9.23,0.07,1
ECU_2977,Line_A,Soldering,214.38,1.09,92.72,0.086,3.37,0.92,4.16,High,0,Pass,17.06,2,28.93,63.33,Operator_2,1.57,0.75,1
ECU_2978,Line_B,Assembly,271.74,1.33,79.14,0.072,4.91,1.42,3.01,High,3,Fail,8.52,0,22.45,42.36,Operator_15,7.26,0.55,1
ECU_2979,Line_A,Soldering,182.01,0.84,87.7,0.024,4.04,0.62,1.86,Low,3,Fail,15.55,3,29.69,41.62,Operator_9,4.84,0.49,0
ECU_2980,Line_A,Assembly,219.16,0.94,50.25,0.011,3.55,0.51,2.62,Low,0,Pass,13.37,2,23.13,44.61,Operator_20,9.7,0.73,0
ECU_2981,Line_C,Soldering,265.21,1.32,60.04,0.025,4.77,0.47,1.87,Low,0,Pass,8.26,2,20.97,31.37,Operator_3,3.11,0.08,1
ECU_2982,Line_A,Packaging,178.4,1.49,30.78,0.016,4.97,1.32,1.22,Medium,1,Fail,6.44,3,24.92,67.2,Operator_7,0.4,0.17,1
ECU_2983,Line_A,Assembly,206.27,1.25,92.59,0.015,4.51,1.4,2.51,High,4,Pass,19.11,1,33.78,43.07,Operator_20,4.31,0.03,1
ECU_2984,Line_A,Packaging,258.02,1.01,90.16,0.013,4.63,1.34,1.19,High,2,Pass,11.51,1,22.77,68.99,Operator_11,8.98,0.37,1
ECU_2985,Line_C,Assembly,264.83,1.13,33.2,0.02,5.0,1.32,0.02,Low,4,Pass,10.52,1,25.47,33.88,Operator_8,8.63,0.61,0
ECU_2986,Line_B,Assembly,278.12,0.96,37.02,0.089,4.26,0.91,4.31,Medium,2,Fail,5.92,3,29.97,63.07,Operator_15,6.1,0.43,0
ECU_2987,Line_C,Assembly,194.95,1.05,84.38,0.043,3.29,0.44,1.02,High,3,Fail,14.12,2,32.24,39.51,Operator_9,8.86,0.08,1
